"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 22:20:02 AEDT 2020","Mon Nov 16 22:20:14 AEDT 2020","12411","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","Given I'm on the Automation Practise landing page","Given I'm on the Automation Practise landing page",""
"passed","Mon Nov 16 22:20:32 AEDT 2020","Mon Nov 16 22:20:33 AEDT 2020","787","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the ""address"" ""55 collins street""","When I enter the ""address"" ""55 collins street""",""
"broken","Mon Nov 16 21:31:12 AEDT 2020","Mon Nov 16 21:31:12 AEDT 2020","1","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the email address ""vinit0@gmail.com""","When I enter the email address ""vinit0@gmail.com""",""
"passed","Mon Nov 16 22:21:19 AEDT 2020","Mon Nov 16 22:21:19 AEDT 2020","654","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I agree TC","When I agree TC",""
"passed","Mon Nov 16 22:20:36 AEDT 2020","Mon Nov 16 22:20:45 AEDT 2020","8919","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Register"" button","When I click ""Register"" button",""
"passed","Mon Nov 16 19:35:08 AEDT 2020","Mon Nov 16 19:35:09 AEDT 2020","612","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter last name ""Malhotra""","When I enter last name ""Malhotra""",""
"passed","Mon Nov 16 22:20:34 AEDT 2020","Mon Nov 16 22:20:35 AEDT 2020","688","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the ""postcode"" ""85006""","When I enter the ""postcode"" ""85006""",""
"passed","Mon Nov 16 22:20:35 AEDT 2020","Mon Nov 16 22:20:36 AEDT 2020","771","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the ""mobile"" ""0449100411""","When I enter the ""mobile"" ""0449100411""",""
"passed","Mon Nov 16 21:43:57 AEDT 2020","Mon Nov 16 21:43:58 AEDT 2020","785","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""email"" ""vinit88@gmail.com""","When I enter ""email"" ""vinit88@gmail.com""",""
"passed","Mon Nov 16 22:21:19 AEDT 2020","Mon Nov 16 22:21:22 AEDT 2020","2620","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I navigate by clicking ""Proceed to checkout"" button","When I navigate by clicking ""Proceed to checkout"" button",""
"passed","Mon Nov 16 19:35:12 AEDT 2020","Mon Nov 16 19:35:13 AEDT 2020","569","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter city ""Melbourne""","When I enter city ""Melbourne""",""
"passed","Mon Nov 16 22:20:19 AEDT 2020","Mon Nov 16 22:20:26 AEDT 2020","6812","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Create an account"" button","When I click ""Create an account"" button",""
"passed","Mon Nov 16 22:20:47 AEDT 2020","Mon Nov 16 22:20:56 AEDT 2020","9096","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Search"" button","When I click ""Search"" button",""
"passed","Mon Nov 16 22:06:44 AEDT 2020","Mon Nov 16 22:06:45 AEDT 2020","759","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""email"" ""vinitmalhotra12@gmail.com""","When I enter ""email"" ""vinitmalhotra12@gmail.com""",""
"passed","Mon Nov 16 22:20:29 AEDT 2020","Mon Nov 16 22:20:30 AEDT 2020","780","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""passwd"" ""Password1""","When I enter ""passwd"" ""Password1""",""
"passed","Mon Nov 16 22:20:56 AEDT 2020","Mon Nov 16 22:20:57 AEDT 2020","924","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I move to ""In stock"" button","When I move to ""In stock"" button",""
"passed","Mon Nov 16 22:20:28 AEDT 2020","Mon Nov 16 22:20:29 AEDT 2020","812","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""email"" ""vinitmalhotra123@gmail.com""","When I enter ""email"" ""vinitmalhotra123@gmail.com""",""
"passed","Mon Nov 16 22:20:30 AEDT 2020","Mon Nov 16 22:20:31 AEDT 2020","804","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter date ""4""","When I enter date ""4""",""
"passed","Mon Nov 16 22:20:45 AEDT 2020","Mon Nov 16 22:20:46 AEDT 2020","634","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","Then I Validate ""Vinit Malhotra"" on the landing screen","Then I Validate ""Vinit Malhotra"" on the landing screen",""
"passed","Mon Nov 16 22:20:26 AEDT 2020","Mon Nov 16 22:20:27 AEDT 2020","742","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I select ""Mr"" title","When I select ""Mr"" title",""
"passed","Mon Nov 16 22:20:57 AEDT 2020","Mon Nov 16 22:21:04 AEDT 2020","6898","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click the ""Add to cart"" button","When I click the ""Add to cart"" button",""
"broken","Mon Nov 16 21:33:46 AEDT 2020","Mon Nov 16 21:33:46 AEDT 2020","5","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the ""email"" ""vinit88@gmail.com""","When I enter the ""email"" ""vinit88@gmail.com""",""
"broken","Mon Nov 16 21:42:08 AEDT 2020","Mon Nov 16 21:42:18 AEDT 2020","10519","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""address"" ""55 collins street""","When I enter ""address"" ""55 collins street""",""
"passed","Mon Nov 16 22:20:31 AEDT 2020","Mon Nov 16 22:20:32 AEDT 2020","611","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter year ""1987""","When I enter year ""1987""",""
"passed","Mon Nov 16 22:21:04 AEDT 2020","Mon Nov 16 22:21:14 AEDT 2020","10579","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click the ""Proceed to checkout"" button","When I click the ""Proceed to checkout"" button",""
"passed","Mon Nov 16 19:35:09 AEDT 2020","Mon Nov 16 19:35:09 AEDT 2020","664","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter emailid ""vinit0@gmail.com""","When I enter emailid ""vinit0@gmail.com""",""
"passed","Mon Nov 16 22:20:31 AEDT 2020","Mon Nov 16 22:20:31 AEDT 2020","667","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter month ""3""","When I enter month ""3""",""
"passed","Mon Nov 16 22:00:31 AEDT 2020","Mon Nov 16 22:00:32 AEDT 2020","834","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""email"" ""vinitmalhotra11@gmail.com""","When I enter ""email"" ""vinitmalhotra11@gmail.com""",""
"passed","Mon Nov 16 22:20:14 AEDT 2020","Mon Nov 16 22:20:18 AEDT 2020","3708","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Sign in"" link","When I click ""Sign in"" link",""
"passed","Mon Nov 16 19:35:11 AEDT 2020","Mon Nov 16 19:35:12 AEDT 2020","592","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter address ""55 collins street""","When I enter address ""55 collins street""",""
"skipped","Mon Nov 16 21:31:12 AEDT 2020","Mon Nov 16 21:31:12 AEDT 2020","0","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""email"" ""vinit0@gmail.com""","When I enter ""email"" ""vinit0@gmail.com""",""
"passed","Mon Nov 16 19:35:09 AEDT 2020","Mon Nov 16 19:35:10 AEDT 2020","569","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter password ""Password1""","When I enter password ""Password1""",""
